Variation,Standardized Name
"HP Logit Management, LLC","HP Logit Management, LLC"
Huntington Ingalls Incorporated,Huntington Ingalls Incorporated
"Hutchinson Industries, Inc.","Hutchinson Industries, Inc."
"Hydro Service & Supplies, Inc.","Hydro Service & Supplies, Inc."
Ibis Tek,Ibis Tek
Ibis Tek,Ibis Tek
Ibis Tek LLC,Ibis Tek
Icahn School Of Medicine At Mount Sinai,Icahn School Of Medicine At Mount Sinai
Icor Technology Inc,Icor Technology Inc
"ID Technologies, LLC","ID Technologies, LLC"
Ideal Innovations Incorporated,Ideal Innovations Incorporated
"Igov Technologies, Inc.","Igov Technologies, Inc."
Imagann Facility Support Services Inc,Imagann Facility Support Services Inc
"Imaging Diagnostics, Inc.","Imaging Diagnostics, Inc."
"Industrial Service and Installation, Inc.","Industrial Service and Installation, Inc."
"Inert Products, LLC","Inert Products, LLC"
"Infinite Energy Construction, Inc.","Infinite Energy Construction, Inc."
"Infinity Support Services, Inc.","Infinity Support Services, Inc."
"Inflation Systems, Inc","Inflation Systems, Inc"
"Information Security and Training, LLC","Information Security and Training, LLC"
Input/Output Technology Incorporated,Input/Output Technology Incorporated
"Insitu, Inc.","Insitu, Inc."
Inst-A-Tech LLC,Inst-A-Tech LLC
"Integrity Office Products, Inc","Integrity Office Products, Inc"
"Intelligent Fusion Technology, Inc.","Intelligent Fusion Technology, Inc."
Intellipeak Solutions Inc,Intellipeak Solutions Inc
Interfuze Corporation,Interfuze Corporation
"International Biomedical, Ltd.","International Biomedical, Ltd."
"International Logistics Systems, Inc.","International Logistics Systems, Inc."
International Parts Supply Corporation,International Parts Supply Corporation
International Service Contractors LLC,International Service Contractors LLC
Intuitive Research and Technology Corporation,Intuitive Research and Technology Corporation
"Intuitive Solutions, LLC","Intuitive Solutions, LLC"
Irobot Corporation,Irobot Corporation
"Iron Bow Technologies, LLC","Iron Bow Technologies, LLC"
"J. F. Taylor, Inc.","J. F. Taylor, Inc."
"J.G.B. Enterprises, Inc.","J.G.B. Enterprises, Inc."
"J2 Engineering, Inc.","J2 Engineering, Inc."
Jabez-Absher Small Business Joint Venture,Jabez-Absher Small Business Joint Venture
Jacobs Technology Inc.,Jacobs Technology Inc.
Jamaica Bearings Co. Inc.,Jamaica Bearings Co. Inc.
"Janus Research Group, LLC","Janus Research Group, LLC"
Jeff Stryker,Jeff Stryker
"Jeol Usa, Inc.","Jeol Usa, Inc."
Jersey Environmental Solutions LLC,Jersey Environmental Solutions LLC
Jgb Enterprises,Jgb Enterprises
Jht Defense INC,Jht Defense INC
"Jls Medical Products Group, LLC","Jls Medical Products Group, LLC"
John E Mahan,John E Mahan
"John M. Ellsworth Co., Inc.","John M. Ellsworth Co., Inc."
Johnson & Johnson Health Care Systems Inc.,Johnson & Johnson Health Care Systems Inc.
Johnson Controls Security Solutions LLC,Johnson Controls Security Solutions LLC
"Johnson-Mcadams Surveying and Mapping, L.L.C.","Johnson-Mcadams Surveying and Mapping, L.L.C."
"Joint Research and Development, Inc.","Joint Research and Development, Inc."
Jowa Fahrzeugteile-Vertriebs Gmbh,Jowa Fahrzeugteile-Vertriebs Gmbh
"Juliet Construction, LLC","Juliet Construction, LLC"
Jung JungENTHAL Gmbh,Jung JungENTHAL Gmbh
"K2m Design, Inc.","K2m Design, Inc."
"Kamlo, L.L.C.","Kamlo, L.L.C."
"Kampi Components Co., Inc.","Kampi Components Co., Inc."
Kandu Supplies and Services LLC,Kandu Supplies and Services LLC
"Katom Restaurant Supply, Inc.","Katom Restaurant Supply, Inc."
"Kbr Wyle Services, LLC","Kbr Wyle Services, LLC"
"Kbrwyle Technology Solutions, LLC","Kbrwyle Technology Solutions, LLC"
Kearfott Corporation,Kearfott Corporation
Kelvin International Corporation,Kelvin International Corporation
"Kfs, LLC","Kfs, LLC"
Kidde Technologies INC Dba Kidde,Kidde Technologies Inc.
Kidde Technologies Inc.,Kidde Technologies Inc.
Kilgore Flares Company LLC,Kilgore Flares Company LLC
"King Aerospace Commercial Corporation, Inc.","King Aerospace Commercial Corporation, Inc."
Kipper Tool Company,Kipper Tool Company
"Kirila Fire Training Facilities, Inc.","Kirila Fire Training Facilities, Inc."
Kj Cain Company,Kj Cain Company
"Knoll, Inc.","Knoll, Inc."
Knowledge Management Inc,Knowledge Management Inc
"Kollsman, Inc.","Kollsman, Inc."
Kongsberg Defence & Aerospace AS,Kongsberg Defence & Aerospace AS
"Kraft Telerobotics, INC","Kraft Telerobotics, Inc."
"Kraft Telerobotics, Inc.","Kraft Telerobotics, Inc."
"Kranze Technology Solutions, Inc.","Kranze Technology Solutions, Inc."
Krauss-Maffei Wegmann Gmbh & Co. KG,Krauss-Maffei Wegmann Gmbh & Co. KG
Kr�tz Gmbh,Kr�tz Gmbh
"Kulite Semiconductor Products, Inc.","Kulite Semiconductor Products, Inc."
Kuog Corporation,Kuog Corporation
"Kvh Industries, Inc.","Kvh Industries, Inc."
"Kym Abrams Design, Inc.","Kym Abrams Design, Inc."
Kzf Design Inc.,Kzf Design Inc.
L-3 Communications Integrated Systems L.P.,L-3 Communications Integrated Systems L.P.
"L-3 Communications Sonoma Eo, Inc.","L-3 Communications Sonoma Eo, Inc."
L1 Enterprises Incorporated,L1 Enterprises Incorporated
"L2 Defense, Inc.","L2 Defense, Inc."
"L3 Technologies, Inc.","L3 Technologies, Inc."
"L3harris Technologies, Inc.","L3harris Technologies, Inc."
Lanzen Fabricating,"Lanzen, Incorporated"
"Lanzen, Incorporated","Lanzen, Incorporated"
"Larosa Building Group, LLC","Larosa Building Group, LLC"
"Lcl Electronics, Inc.","Lcl Electronics, Inc."
"Lee Precision Machine Shop, Inc.","Lee Precision Machine Shop, Inc."
"Leidos Holdings, Inc.","Leidos, Inc."
"Leidos, Inc.","Leidos, Inc."
Lektrimil Industries Inc,Lektrimil Industries Inc
Linde Gas North America LLC,Linde Gas North America LLC
"Linmarr Associates, Inc.","Linmarr Associates, Inc."
"Loc Performance Products, Inc.","Loc Performance Products, Inc."
Lockheed Martin Corporation,Lockheed Martin Corporation
"Lockheed Martin Global, Inc.",Lockheed Martin Corporation
Lockheed Martin Gyrocam Systems LLC,Lockheed Martin Corporation
Lockheed Martin Rotary Mission Systems (Lmrms),Lockheed Martin Corporation
"Locurrent Systems, LLC","Locurrent Systems, LLC"
"Logis-Tech, Inc.","Logis-Tech, Inc."
Logistics Network Inc.,Logistics Network Inc.
Longhorn Regional Service Center LLC,Longhorn Regional Service Center LLC
Longhorn Regional Service Center LLC,Longhorn Regional Service Center LLC
Lumenier Holdco LLC,Lumenier Holdco LLC
"M C Test Service, Inc.","M C Test Service, Inc."
"M.A.C.E., Material Acquisition, Contracting, Equipment, LLC","M.A.C.E., Material Acquisition, Contracting, Equipment, LLC"
"Macomb Sheet Metal, Inc.","Macomb Sheet Metal, Inc."
"Man-Machine Systems Assessment (Msa), Incorporated","Man-Machine Systems Assessment (Msa), Incorporated"
"Management Consulting, Inc.","Management Consulting, Inc."
Management Solutions,Management Solutions
"Management Solutions, Inc./Esstech Engineering",Management Solutions
"Management Solutions, L.C.",Management Solutions
"Manitex Liftking, Ulc","Manitex Liftking, Ulc"
"Mantech Advanced Systems International, Inc.","Mantech Advanced Systems International, Inc."
Mantech Telecommunications and Information Systems Corporation,Mantech Telecommunications and Information Systems Corporation
"Marathon Medical, Corporation","Marathon Medical, Corporation"
Marinette Marine Corporation,Marinette Marine Corporation
Mark P Yosway,Mark P Yosway
"Marvin Land Systems, Inc.","Marvin Land Systems, Inc."
"Material Acquisition Services, Inc.","Material Acquisition Services, Inc."
Material Handling Solutions LLC,Material Handling Solutions LLC
"Matthew Warren, Inc.","Matthew Warren, Inc."
Maven Engineering Corporation,Maven Engineering Corporation
Mcclarin Plastics LLC,Mcclarin Plastics LLC
"Mcdash Analytics, LLC","Mcdash Analytics, LLC"
Mckesson Corporation,Mckesson Corporation
"Medical Device Business Services, Inc.","Medical Device Business Services, Inc."
"Medpro Systems, LLC","Medpro Systems, LLC"
Medpro US,"Medpro Systems, LLC"
"Medtronic, Inc.","Medtronic, Inc."
"Meggitt Defense Systems, Inc.","Meggitt Defense Systems, Inc."
"Mercom, Incorporated","Mercom, Incorporated"
"Meritor Industrial Products, LLC","Meritor Industrial Products, LLC"
Merlin Power Systems LLC,Merlin Power Systems LLC
"Merrill Aviation, Inc.","Merrill Aviation, Inc."
Meso Scale Discovery LLC,Meso Scale Discovery LLC
"Mfi Medical Equipment, Inc.","Mfi Medical Equipment, Inc."
"Michigan Cnc Tool, Inc.","Michigan Cnc Tool, Inc."
Michigan Technological University,Michigan Technological University
"Micor Industries, LLC","Micor Industries, LLC"
"Midcon Cables Co., Inc.","Midcon Cables Co., Inc."
"Midwest Gear & Tool, INC.","Midwest Gear & Tool, INC."
"Military Systems Group, Inc.","Military Systems Group, Inc."
Millennium Engineering and Integration Co,Millennium Engineering and Integration Co
Millennium Engineering and Integration Co.,Millennium Engineering and Integration Co
Minowitz Manufacturing Co.,Minowitz Manufacturing Co.
Minto,Minto
Miracle Systems LLC,Miracle Systems LLC
Miscellaneous Foreign Awardees,Miscellaneous Foreign Awardees
Mission Mule LLC,Mission Mule LLC
"Mobius Imaging, LLC","Mobius Imaging, LLC"
"Mock, Inc.","Mock, Inc."
"Mock, INC. Dba HI-Speed Industrial Service","Mock, Inc."
"Monroe Engineering, LLC","Monroe Engineering, LLC"
Moog Inc.,Moog Inc.
"Mowa Barlovento Llc, JV","Mowa Barlovento Llc, JV"
"Mrap, LLC","Mrap, LLC"
"Mrc Precision Metal Optics, Inc.","Mrc Precision Metal Optics, Inc."
"Msc Industrial Direct Co., Inc.","Msc Industrial Direct Co., Inc."
"Msi Defense Solutions, LLC","Msi Defense Solutions, LLC"
Mt. Abram Excavating Co.,Mt. Abram Excavating Co.
Mtf,Mtf
"Mti, Inc.","Mti, Inc."
"Mtp Drivetrain Services, L.L.C.","Mtp Drivetrain Services, L.L.C."
"Multisports, INC","Multisports, INC"
"Murtech, Inc.","Murtech, Inc."
Musculoskeletal Transplant Foundation,Musculoskeletal Transplant Foundation
"Musculoskeletal Transplant Foundation, Inc.",Musculoskeletal Transplant Foundation
"Mustang Technology Group, L.P.","Mustang Technology Group, L.P."
"Mw Builders, Inc.","Mw Builders, Inc."
"N G C, Inc","N G C, Inc"
Nacional Rent Car Ltda,Nacional Rent Car Ltda
"Nacional Rent Car Ltda, Carrera",Nacional Rent Car Ltda
"Nacional Rent Cqar Ltda., Carrera",Nacional Rent Car Ltda
Napco International LLC,Napco International LLC
"National Advanced Endoscopy Devices, Inc.","National Advanced Endoscopy Devices, Inc."
National Center For Defense Manufacturing and Machining,National Center For Defense Manufacturing and Machining
"Nationwide Supplies, L.P.","Nationwide Supplies, L.P."
Native Instinct LLC,Native Instinct LLC
"Nativevet Materiel, LLC","Nativevet Materiel, LLC"
Natus Medical Incorporated,Natus Medical Incorporated
Navistar Defense LLC,Navistar Defense LLC
Navistar Defense LLC Dba,Navistar Defense LLC Dba
Nch Corporation,Nch Corporation
"Ncs Technologies, Inc.","Ncs Technologies, Inc."
"ND Properties, Inc.","ND Properties, Inc."
Nelson Rodriguez Ingenieria Sas,Nelson Rodriguez Ingenieria Sas
"Network Controls & Electric, Inc.","Network Controls & Electric, Inc."
"New Directions Technologies, Inc.","New Directions Technologies, Inc."
"New Tech Solutions, Inc.","New Tech Solutions, Inc."
"Ninety Five South, Inc.","Ninety Five South, Inc."
"Nitelines Offensive Defensive Systems (Nods), Inc","Nitelines Offensive Defensive Systems (Nods), Inc"
"Nobel Biocare Usa, LLC","Nobel Biocare Usa, LLC"
"Noble Sales Co., Inc.","Noble Sales Co., Inc."
"Nokomis, Inc.","Nokomis, Inc."
Norske Construction Inc.,Norske Construction Inc.
"North American Rescue, LLC","North American Rescue, LLC"
"Northrop Grumman Cobham Intercoms, LLC",Northrop Grumman 
Northrop Grumman Systems Corporation,Northrop Grumman 
"Noviclean, LLC","Noviclean, LLC"
Nu Waves Ltd.,Nu Waves Ltd.
"Nvis, Inc.","Nvis, Inc."
"Nxtwall, LLC","Nxtwall, LLC"
O'Gara-Hess & Eisenhardt Armoring Company LLC,O'Gara-Hess & Eisenhardt Armoring Company LLC
"O'Neil & Associates, Inc.","O'Neil & Associates, Inc."
"Oasis Advanced Engineering, Inc.","Oasis Advanced Engineering, Inc."
Oce Y Arrendamientos DE Vehiculos Blindados Ltda,Oce Y Arrendamientos DE Vehiculos Blindados Ltda
Ohio Machinery Co.,Ohio Machinery Co.
Olin Winchester LLC,Olin Winchester LLC
Olympus America Inc,Olympus America Inc
Onodi Tool & Engineering Co.,Onodi Tool & Engineering Co.
"Operational Postured Security Alliance, LLC","Operational Postured Security Alliance, LLC"
"Optex Systems Holdings, Inc.","Optex Systems, Inc."
"Optex Systems, Inc.","Optex Systems, Inc."
"Opti-Fit International, Inc.","Opti-Fit International, Inc."
"Optimetrics, Inc.","Optimetrics, Inc."
Optimum Alta Seguridad E.I.R.L.,Optimum Alta Seguridad E.I.R.L.
"Oran Safety Glass, Inc.","Oran Safety Glass, Inc."
"Orthovita, Inc.","Orthovita, Inc."
Oscar Deuce LLC,Oscar Deuce LLC
Oshkosh Corporation,Oshkosh Corporation
"Oshkosh Defense, LLC",Oshkosh Corporation
"Ost, Inc.","Ost, Inc."
"Ot Training Solutions, LLC","Ot Training Solutions, LLC"
"Owens & Minor Distribution, Inc.","Owens & Minor Distribution, Inc."
P L Wja L C,P L Wja L C
P.K.M.M. Inc.,P.K.M.M. Inc.
"Pacific Welding & Fabrication, Inc.","Pacific Welding & Fabrication, Inc."
Pae Applied Technologies LLC,Pae Applied Technologies LLC
Pae National Security Solutions LLC,Pae Applied Technologies LLC
"Palomar Display Products, Inc.","Palomar Display Products, Inc."
"Panakeia, LLC","Panakeia, LLC"
Par Government Systems Corp,Par Government Systems Corp
Parker-Hannifin Corporation,Parker-Hannifin Corporation
Parsons Government Services Inc.,Parsons Government Services Inc.
"Patricio Enterprises, Inc.","Patricio Enterprises, Inc."
"Pd Systems, Inc.","Pd Systems, Inc."
Peak Scientific Inc.,Peak Scientific Inc.
"Peck & Hale, L.L.C.","Peck & Hale, L.L.C."
Peerless Chain  CO.,Peerless Chain  CO.
Peerless Electronics Inc,Peerless Electronics Inc
"Penn Power Group, LLC","Penn Power Group, LLC"
Pennoni Associates Inc.,Pennoni Associates Inc.
"Perkinelmer Health Sciences, Inc.","Perkinelmer Health Sciences, Inc."
Peter's Excavating,Peter's Excavating
Peters' Construction,Peters' Construction
Petrochoice Dynamo LLC,Petrochoice LLC
"Petrochoice Holdings, Inc.",Petrochoice LLC
Petrochoice LLC,Petrochoice LLC
Petroliance LLC,Petroliance LLC
Phantom Eagle LLC,Phantom Eagle LLC
Philips Medical Systems North America Inc.,Philips Medical Systems North America Inc.
Phoenix Systems International Inc,Phoenix Systems International Inc
Phoenix Textile Corporation,Phoenix Textile Corporation
Physio Control Poland Sales Sp Z O O,Physio-Control Inc
Physio-Control Inc,Physio-Control Inc
"Physio-Control, Inc.",Physio-Control Inc
"Pinnacle Solutions, Inc.","Pinnacle Solutions, Inc."
"Pioneer Industries, Inc.","Pioneer Industries, Inc."
Pjp Restoration,Pjp Restoration
"Pkware, INC.","Pkware, INC."
"Plasan North America, Inc.","Plasan North America, Inc."
"Plasan North America, INC. Dba","Plasan North America, Inc."
"Platt & Son, Inc.","Platt & Son, Inc."
Port O Toilet LLC,Port O Toilet LLC
"Potomacwave Consulting, Inc.","Potomacwave Consulting, Inc."
"Powersports Plus, LLC","Powersports Plus, LLC"
"Prab, Inc.","Prab, Inc."
"Pratt & Miller Engineering & Fabrication, Inc.","Pratt & Miller Engineering & Fabrication, Inc."
"Precise-Avian Company, LLC","Precise-Avian Company, LLC"
"Precision Screw Machine Products, Inc.","Precision Screw Machine Products, Inc."
"Premier Lab Supply, Inc.","Premier Lab Supply, Inc."
"Premier Professional Systems, Incorporated","Premier Professional Systems, Incorporated"
"Prime Photonics, Lc","Prime Photonics, Lc"
"Proaim Americas, LLC","Proaim Americas, LLC"
"Progressive X-Ray, Inc","Progressive X-Ray, Inc"
"Protective Packaging Corporation, Inc.","Protective Packaging Corporation, Inc."
"Provation Medical, Inc.","Provation Medical, Inc."
Qinetiq,Qinetiq
"Qinetiq US Holdings, Inc.","Qinetiq US Holdings, Inc."
"Quality Specialty Products, Inc.","Quality Specialty Products, Inc."
Quantico Tactical Incorporated,Quantico Tactical Incorporated
"Quantum Research International, Inc.","Quantum Research International, Inc."
"R & D Electronics, Inc.","R & D Electronics, Inc."
"R L C Electronics, Inc.","R L C Electronics, Inc."
"R. C. Construction Co., Inc.","R. C. Construction Co., Inc."
R. F. Macdonald Co.,R. F. Macdonald Co.
"R.J. Runge Company, Inc.","R.J. Runge Company, Inc."
R3 Uniq Inc,R3 Uniq Inc
Radiometer America Inc.,Radiometer America Inc.
"Ranger Land Systems, Inc.","Ranger Land Systems, Inc."
Rantec Power Systems Inc.,Rantec Power Systems Inc.
"Ras Enterprises, LLC","Ras Enterprises, LLC"
"Ravenswood Solutions, Inc.","Ravenswood Solutions, Inc."
"Rayotek Scientific, Inc.","Rayotek Scientific, Inc."
Raytheon Company,Raytheon Company
Raytheon/Lockheed Martin Javelin Joint Venture,Raytheon/Lockheed Martin Javelin Joint Venture
Rc Consolidated Services Inc.,Rc Consolidated Services Inc.
"Rdc/John Poe Architects, L.L.L.P.","Rdc/John Poe Architects, L.L.L.P."
Rdo Agriculture Equipment Co.,Rdo Agriculture Equipment Co.
Rdo Equipment Co.,Rdo Equipment Co.
"Real-Time Laboratories, LLC","Real-Time Laboratories, LLC"
Red Barn Machine Inc,Red Barn Machine Inc
"Red One Medical Devices, LLC","Red One Medical Devices, LLC"
Redstone Defense Systems,Redstone Defense Systems
Regents Of The University Of Michigan,Regents Of The University Of Michigan
"Reidville Hydraulics & Mfg., Inc.","Reidville Hydraulics & Mfg., Inc."
"Remotec, Inc.","Remotec, Inc."
"Rescue One Training For Life, Inc.","Rescue One Training For Life, Inc."
"Rescue Safety Products, L.L.C.","Rescue Safety Products, L.L.C."
Rescue Simulation Products,Rescue Simulation Products
"Research Analysis and Maintenance, Inc.","Research Analysis and Maintenance, Inc."
Rest Easy LLC (Delaware),Rest Easy LLC (Delaware)
"Rev-Cap Company, Inc.","Rev-Cap Company, Inc."
"Revive Surgical Instrument Service & Repair, Inc","Revive Surgical Instrument Service & Repair, Inc"
"Rfcircuits, Inc.","Rfcircuits, Inc."
Rheinmetall Canada Inc,Rheinmetall Canada Inc
"Ricardo Defense, Inc.","Ricardo Defense, Inc."
"Ridge Instruments Company, Inc.","Ridge Instruments Company, Inc."
Riedel Electronics LLC,Riedel Electronics LLC
Robert H Kaplan Associates Incorporated,Robert H Kaplan Associates Incorporated
Rockwell Collins Simulation & Training Solutions LLC,"Rockwell Collins, Inc."
"Rockwell Collins, Inc.","Rockwell Collins, Inc."
"Rocore Industries, Inc.","Rocore Industries, Inc."
Roger Abrams,Roger Abrams
"Rohde & Schwarz Usa, Inc.","Rohde & Schwarz Usa, Inc."
Rolls-Royce Commercial Marine Inc.,Rolls-Royce Commercial Marine Inc.
"Root-O-Matic, Inc.","Root-O-Matic, Inc."
"Rose-A-Lee Technologies, INC.","Rose-A-Lee Technologies, INC."
"Rosellini Scientific, LLC","Rosellini Scientific, LLC"
"Rosemount Specialty Products, LLC","Rosemount Specialty Products, LLC"
Rowland Emergency and Specialty Vehicles,Rowland Emergency and Specialty Vehicles
"Rq Construction, LLC","Rq Construction, LLC"
Rr Global Solutions (M) SDN. Bhd.,Rr Global Solutions (M) SDN. Bhd.
"Rsi, Inc.","Rsi, Inc."
S I T Corporation,S I T Corporation
"SA Technical Services, Inc.","SA Technical Services, Inc."
Saab Barracuda LLC,"Saab, Inc."
"Saab, Inc.","Saab, Inc."
"Safariland, LLC","Safariland, LLC"
"Safety Systems and Signs Hawaii, Inc.","Safety Systems and Signs Hawaii, Inc."
"Sage Products, LLC","Sage Products, LLC"
Sai Industries,Sai Industries
Sayres and Associates Corp,Sayres and Associates Corp
Scaletta Moloney Armoring Corp,Scaletta Moloney Armoring Corp
"Schnell Response & Preparedness Consulting, LLC","Schnell Response & Preparedness Consulting, LLC"
Schroth Safety Products LLC,Schroth Safety Products LLC
"Sci Technology, Inc.","Sci Technology, Inc."
Science Applications International Corporation,Science Applications International Corporation
Seco Parts & Equipment Company,Seco Parts & Equipment Company
"Seiler Instrument and Manufacturing Company, Incorporated","Seiler Instrument and Manufacturing Company, Incorporated"
Selex Es Inc.,Selex Es Inc.
"Semco Instruments, Inc.","Semco Instruments, Inc."
Sepac Vsfd,"Sepac, Inc."
"Sepac, Inc.","Sepac, Inc."
"Servestrong Solutions, LLC","Servestrong Solutions, LLC"
"Seva Technical Services, Inc.","Seva Technical Services, Inc."
Shield Technologies Corp,Shield Technologies Corp
Shimadzu Scientific Instruments Incorporated,Shimadzu Scientific Instruments Incorporated
"Shine Micro, Inc.","Shine Micro, Inc."
"Shockride, LLC","Shockride, LLC"
"Shutterstock, Inc.","Shutterstock, Inc."
Sia Solutions LLC,Sia Solutions LLC
"Siddons Martin Emergency Group, LLC","Siddons Martin Emergency Group, LLC"
"Sigma Technologies, LLC","Sigma Technologies, LLC"
"Sigmatech, Inc.","Sigmatech, Inc."
Sikorsky Aircraft Corporation,Sikorsky Aircraft Corporation
Silicone Rubber Right Products LLC,Silicone Rubber Right Products LLC
"Silver Lake Construction, LLC","Silver Lake Construction, LLC"
Simex Defence Inc,Simex Defence Inc
"Sjs Executives, LLC","Sjs Executives, LLC"
Ske Srl,Ske Srl
Skookum Educational Programs Inc,Skookum Educational Programs Inc
"Smarthealth, Inc.","Smarthealth, Inc."
"Smith Control Systems, Inc.","Smith Control Systems, Inc."
Smiths Detection Inc.,Smiths Detection Inc.
"Smyth County Machine and Welding, Inc.","Smyth County Machine and Welding, Inc."
"Solo Products, Inc.","Solo Products, Inc."
"Soluciones Especializadas DE Transporte S.A. ""Set, Buenavista, Guajira - Colombia, Guajira CO",Soluciones Especializadas DE Transportes S A
"Soluciones Especializadas DE Transporte S.A. ""Set"", Carrera",Soluciones Especializadas DE Transportes S A
"Soluciones Especializadas DE Transporte S.A., Carrera",Soluciones Especializadas DE Transportes S A
"Soluciones Especializadas DE Transporte Sas, Carrera",Soluciones Especializadas DE Transportes S A
"Soluciones Especializadas DE Transporte, Carrera",Soluciones Especializadas DE Transportes S A
Soluciones Especializadas DE Transportes S A,Soluciones Especializadas DE Transportes S A
Soluciones Especializadas DE Transportes S A S,Soluciones Especializadas DE Transportes S A
"Soluciones Especializas DE Transporte S.A. ""Set"", Carrera",Soluciones Especializadas DE Transportes S A
"Soluciones Especualizadas DE Transporte S.A., Bogota CO","Soluciones Especualizadas DE Transporte S.A., Bogota CO"
"Solutions Through Innovative Technologies, Inc.","Solutions Through Innovative Technologies, Inc."
"Solvet Services, LLC","Solvet Services, LLC"
"Somatics, LLC","Somatics, LLC"
Sourcelinq LLC,Sourcelinq LLC
"Southern Automotive Wholesalers, Inc.","Southern Automotive Wholesalers, Inc."
Southwest Research Institute Inc,Southwest Research Institute Inc
Space Computer Corp.,Space Computer Corp.
Spacesaver Storage Solutions LLC,Spacesaver Storage Solutions LLC
"Spartan Motors Chassis, Inc.","Spartan Motors Chassis, Inc."
Specialty Underwriters LLC,Specialty Underwriters LLC
"Spirox, Inc.","Spirox, Inc."
SRI International,SRI International
"Ss Medical, Inc.","Ss Medical, Inc."
Ssi Technologies Inc,"Ssi Technology, Inc."
"Ssi Technology, Inc.","Ssi Technology, Inc."
"Standard Communications, Inc.","Standard Communications, Inc."
Standbuy Distributors,Standbuy Distributors
Stanley Machining & Tool Corp.,Stanley Machining & Tool Corp.
Statz Corporation,Statz Corporation
Steelcase Inc.,Steelcase Inc.
"Stellar Support Services Ii, LLC","Stellar Support Services Ii, LLC"
Stephan Wood Products Inc,Stephan Wood Products Inc
"Steris Instrument Management Services, Inc.","Steris Instrument Management Services, Inc."
"Sterling Design, Inc","Sterling Design, Inc"
"Stonewall Defense, LLC","Stonewall Defense, LLC"
"Strata-G Solutions, LLC","Strata-G Solutions, LLC"
"Strategic Robotic Systems, Inc.","Strategic Robotic Systems, Inc."
"Strategic Ventures Consulting Group, LLC","Strategic Ventures Consulting Group, LLC"
"Structsure Projects, Inc.","Structsure Projects, Inc."
"Structural Associates, Inc.","Structural Associates, Inc."
"Structural Engineering Group, Incorporated","Structural Engineering Group, Incorporated"
Stryker (Formerly Physio-Control),Stryker
"Stryker & Company, Inc.",Stryker
Stryker Canada Holding Company,Stryker
Stryker Canada Lp,Stryker
Stryker Canada Ulc,Stryker
"Stryker Communications, Inc.",Stryker
Stryker Construction LLC,Stryker
Stryker Corporation,Stryker
Stryker Excavating and Landscaping LLC,Stryker
Stryker Gmbh & Co. KG,Stryker
Stryker Medical,Stryker
"Stryker Medical Division, Physio-Control Inc.",Stryker
Stryker Neurovascular,Stryker
Stryker Orthopaedics,Stryker
Stryker Parent Corp.,Stryker
Stryker Polska,Stryker
Stryker Polska Sp Z O O,Stryker
"Stryker POlska Sp. Z O.O. Ul. POlecZki 35, 02-822 WarsZawa",Stryker
"Stryker Sales Corporation, Kalamazoo, MI",Stryker
"Stryker Sales Corporation, Portage, MI",Stryker
"Stryker Sales, LLC",Stryker
"Stryker Sustainability Solutions, Inc.",Stryker
Stryker Uk Limited,Stryker
"Stryker, Portage, MI",Stryker
Sts International INC,Sts International INC
"Summit Technologies, Inc.","Summit Technologies, Inc."
Sunbelt Design & Development,Sunbelt Design & Development
"Sustainment Technologies, LLC","Sustainment Technologies, LLC"
"System Studies & Simulation, Inc., A Close Corporation","System Studies & Simulation, Inc., A Close Corporation"
System Technical Support Corporation,System Technical Support Corporation
Systems & Technology Research LLC,Systems & Technology Research LLC
Systems Drs Sustainment Inc,Systems Drs Sustainment Inc
Systems Engineering Inc,Systems Engineering Inc
"Systems Products and Solutions, Inc.","Systems Products and Solutions, Inc."
"Szy Holdings, LLC","Szy Holdings, LLC"
"Szy Holdings, LLC Dba Ever Ready","Szy Holdings, LLC Dba Ever Ready"
"Tactical & Survival Specialties, Inc.","Tactical & Survival Specialties, Inc."
"Tactical Air Support, Inc.","Tactical Air Support, Inc."
Talan Industries LLC,Talan Industries LLC
Tamor S.M.R. LTD.,Tamor S.M.R. LTD.
"Tamor S.M.R. LTD.,Southern Industrial Zone,P.O.Box",Tamor S.M.R. LTD.
"Tapestry Solutions, Inc.","Tapestry Solutions, Inc."
Target Arm Inc.,Target Arm Inc.
"Task Aerospace, Inc.","Task Aerospace, Inc."
"Technergetics, LLC","Technergetics, LLC"
Technology Group Inc,Technology Group Inc
"Technomics, Inc.","Technomics, Inc."
"Tecmotiv (usa), Inc.","Tecmotiv (usa), Inc."
"Tegam, Inc.","Tegam, Inc."
"Teledyne Brown Engineering, Inc.","Teledyne Brown Engineering, Inc."
Tenneco Inc.,Tenneco Inc.
"Teras Breakbulk Ocean Navigation Enterprises, LLC","Teras Breakbulk Ocean Navigation Enterprises, LLC"
Terex Corporation,Terex Corporation
"Tesla Industries, Inc.","Tesla Industries, Inc."
"Tessa Two, Inc.","Tessa Two, Inc."
"Tetra Tech-Maytag Aircraft Corporation Joint Venture,","Tetra Tech, Inc."
"Tetra Tech, Inc.","Tetra Tech, Inc."
Textron Systems Corporation,Textron Systems Corporation
Thales Nederland B.V.,Thales Nederland B.V.
"Thales Nederland B.V.,Bestevaer",Thales Nederland B.V.
The Aegis Technologies Group LLC,The Aegis Technologies Group LLC
The Boeing Company,The Boeing Company
The Janz Corporation,The Janz Corporation
The Johns Hopkins University Applied Physics Laboratory LLC,The Johns Hopkins University Applied Physics Laboratory LLC
The Keyw Corporation,The Keyw Corporation
